Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2008,17 Värmlands län,Svealand,Unprotected,53.4,113.2,133.7,163.5,165.1,302.3,117.2,104.2,68.9,40.2,41.3,6.7,49.2,4.1,8.7,10.3,12.5,12.7,23.2,9,8,5.3,3.1,3.2,6.3
2008,18 Örebro län,Svealand,Unprotected,24,58.1,61.2,73.1,79.6,96,68.3,37.6,41.6,17.6,5.6,6.74,47.1,4.3,10.3,10.9,13,14.1,17.1,12.1,6.7,7.4,3.1,1,4.1
2008,19 Västmanlands län,Svealand,Unprotected,16.8,33.8,34,32.9,37.7,52.8,31.5,26.4,14.7,7.6,3,6.42,45,5.8,11.6,11.7,11.3,12.9,18.1,10.8,9.1,5,2.6,1,3.6
2008,20 Dalarnas län,Svealand,Unprotected,80.8,147.2,199.2,259,203.8,245.8,129.7,126.6,135.4,158.3,168.1,4.69,59.8,4.4,7.9,10.7,14,11,13.3,7,6.8,7.3,8.5,9.1,9.1
2008,21 Gävleborgs län,Södra Norrland,Unprotected,56.3,144.3,141.6,172.1,176.8,261.8,135.3,132.3,119,81,38.4,6.01,52.9,3.9,9.9,9.7,11.8,12.1,17.9,9.3,9.1,8.2,5.6,2.6,8.2
2008,22 Västernorrlands län,Södra Norrland,Unprotected,79.6,124.4,187.9,234.9,225.4,240.8,122.5,119.9,141.9,101.6,83.3,5.92,54.1,4.8,7.5,11.3,14.1,13.6,14.5,7.4,7.2,8.5,6.1,5,11.1
2008,23 Jämtlands län,Södra Norrland,Unprotected,90.3,198.3,261.5,269.2,187.9,294,119.5,170,240.9,259.4,347.8,4.23,69.3,3.7,8.1,10.7,11,7.7,12.1,4.9,7,9.9,10.6,14.3,14.3
2008,24 Västerbottens län,Norra Norrland,Unprotected,118.6,243,279.5,333.2,242.4,505.7,330.9,268.5,237.4,220.5,218.9,3.73,60.8,4,8.1,9.3,11.1,8.1,16.9,11,9,7.9,7.4,7.3,7.3
2008,25 Norrbottens län,Norra Norrland,Unprotected,94.5,250.4,258.6,340.6,316.4,645.1,376.9,308.9,235.8,242.8,282,2.93,62.9,2.8,7.5,7.7,10.2,9.4,19.2,11.2,9.2,7,7.2,8.4,8.4
2009,01 Stockholms län,Svealand,Unprotected,17.1,17.5,19.1,35.7,28.2,41.1,44.7,27.3,26.4,8.9,12.9,7.11,57,6.1,6.3,6.9,12.8,10.1,14.7,16,9.8,9.5,3.2,4.6,17.3
